Topic,Question,Answer
Playwright,What is Playwright?,An open-source framework for end-to-end testing of web applications.
Playwright,Which languages does Playwright support?,JavaScript, TypeScript, Python, C#, Java.
Playwright,How do you navigate to a URL in Playwright?,Use `await page.goto('https://example.com')`.
Playwright,How do you take a screenshot in Playwright?,Use `await page.screenshot({ path: 'screenshot.png' })`.
Playwright,How do you select an element by text in Playwright?,Use `page.getByText('text')`.
Playwright,How do you select an element by CSS selector in Playwright?,Use `page.locator('css-selector')`.
Playwright,What is the difference between `page.locator` and `page.getByText`?,`locator` is for CSS/element selection; `getByText` finds by text content.
Playwright,How do you run Playwright tests in headless mode?,By default, Playwright runs in headless mode; to run with UI, use `headless: false` in launch options.
Playwright,How do you record a test in Playwright?,Run `npx playwright codegen <url>`.
Playwright,How do you handle alerts or popups in Playwright?,Use `page.on('dialog', async dialog => { await dialog.accept(); })`.
Playwright,How do you wait for an element to appear in Playwright?,Use `await page.waitForSelector('selector')`.
Playwright,How do you emulate a mobile device in Playwright?,Use `playwright.devices['iPhone 11']` with browser context.
Playwright,What are Playwright fixtures?,Reusable objects in Playwright Test to share setup and teardown logic.
Playwright,What command installs Playwright?,`npm install @playwright/test`.
Playwright,How do you execute Playwright tests?,Use `npx playwright test`.
Playwright,What is the difference between Playwright and Selenium?,Playwright is faster, has auto-waiting, and better modern web support; Selenium has broader ecosystem but can be slower.
Selenium,What is Selenium?,A browser automation tool for web apps.
Selenium,How do you open a browser in Selenium?,Use `WebDriver driver = new ChromeDriver();`.
API,What is an API?,A set of rules and protocols for building and interacting with software applications.
API,What is REST?,An architectural style for building APIs over HTTP.
